Id, waited(forTicket), ticketed, waited(forTrain), arrived
1,0,2,0,2
2,0,1,0,1
3,0,3,0,3
4,0,5,0,5
5,0,1,0,1
6,0,11,0,11
7,0,2,0,2
8,0,3,0,3
9,0,4,0,4
10,0,6,0,6
11,0,11,0,11
12,0,7,0,7
13,0,10,0,10
14,0,8,0,8
15,0,8,0,8
16,0,9,0,9
17,0,15,0,15
18,0,11,0,11
19,0,11,0,11
20,0,15,0,15
21,0,14,0,14
22,0,18,0,18
23,0,16,0,16
24,0,17,0,17
25,0,22,0,22
26,0,22,0,22
27,0,20,0,20
28,0,20,0,20
29,0,26,0,26
30,0,22,0,22
31,0,25,0,25
32,0,24,0,24
33,0,26,0,26
34,0,26,0,26
35,0,27,0,27
36,0,27,0,27
37,0,28,0,28
38,0,29,0,29
39,0,33,0,33
40,0,31,0,31
41,0,37,0,37
42,0,44,0,44
43,0,37,0,37
44,0,37,0,37
45,0,38,0,38
46,0,39,0,39
47,0,41,0,41
48,0,44,0,44
49,0,43,0,43
50,0,47,0,47
